id,index,name,first,total,ratio,v3,v2,btotal,bratio,btratio,tratio,fratio,v3f,v3r,v3tr,v3fr,v2f,v2r,v2tr,v2fr,v3i,v2i
68,126,非想天则,0,7,0,3,3,11,0,0.06999999999999999,0.12,0,0,0,0.04,0,1,33.33,0.05,0.02,124,117
88,126,绿巨人,0,7,0,-,-,11,0,0.06999999999999999,0.12,0,-,-,-,-,-,-,-,-,-,-
106,126,依莉斯,0,7,0,4,6,11,0,0.06999999999999999,0.12,0,0,0,0.06,0,0,0,0.1,0,119,106
114,126,小兔姬,0,7,0,3,2,11,0,0.06999999999999999,0.12,0,0,0,0.04,0,0,0,0.03,0,124,121
144,126,Reisen,0,7,0,7,3,11,0,0.06999999999999999,0.12,0,1,14.29,0.1,0.02,0,0,0.05,0,112,117
131,131,舞,1,6,16.67,8,5,10,26.67,0.06,0.1,0.02,1,12.5,0.11,0.02,0,0,0.08,0,106,109
180,131,妖精（含持花妖精，僵尸妖精）,1,6,16.67,7,6,10,26.67,0.06,0.1,0.02,1,14.29,0.1,0.02,0,0,0.1,0,112,106
187,131,河童（含山童）,1,6,16.67,1,-,10,26.67,0.06,0.1,0.02,0,0,0.01,0,-,-,-,-,140,-
185,131,阴阳玉,0,6,0,8,11,10,0,0.06,0.1,0,0,0,0.11,0,1,9.09,0.19,0.02,106,97
108,135,玄爷,0,5,0,3,4,8,0,0.05,0.08,0,0,0,0.04,0,2,50,0.06999999999999999,0.04,124,114
159,135,求闻史纪中的受访人群,0,5,0,4,6,8,0,0.05,0.08,0,1,25,0.06,0.02,0,0,0.1,0,119,106
78,137,秦河胜,0,4,0,-,-,6,0,0.04,0.06999999999999999,0,-,-,-,-,-,-,-,-,-,-
89,137,阿菊,0,4,0,-,-,6,0,0.04,0.06999999999999999,0,-,-,-,-,-,-,-,-,-,-
92,139,黄帝,0,3,0,-,-,5,0,0.03,0.05,0,-,-,-,-,-,-,-,-,-,-
109,139,里香,0,3,0,2,4,5,0,0.03,0.05,0,0,0,0.03,0,0,0,0.06999999999999999,0,129,114
119,139,咪咪号,0,3,0,1,1,5,0,0.03,0.05,0,0,0,0.01,0,0,0,0.02,0,140,130
123,139,奥莲姬,0,3,0,2,1,5,0,0.03,0.05,0,0,0,0.03,0,0,0,0.02,0,129,130
156,139,岩笠,0,3,0,1,0,5,0,0.03,0.05,0,0,0,0.01,0,0,0,0,0,140,141
176,139,读书狐狸,0,3,0,-,-,5,0,0.03,0.05,0,-,-,-,-,-,-,-,-,-,-
101,145,神玉,0,2,0,1,1,3,0,0.02,0.03,0,0,0,0.01,0,0,0,0.02,0,140,130
103,145,菊理,0,2,0,1,1,3,0,0.02,0.03,0,0,0,0.01,0,0,0,0.02,0,140,130
148,145,月夜见,0,2,0,3,2,3,0,0.02,0.03,0,0,0,0.04,0,0,0,0.03,0,124,121
150,145,木花咲耶姬,0,2,0,5,2,3,0,0.02,0.03,0,1,20,0.06999999999999999,0.02,1,50,0.03,0.02,115,121
162,145,雷兽（务光）,0,2,0,1,0,3,0,0.02,0.03,0,0,0,0.01,0,0,0,0,0,140,141
173,145,稻荷大人,0,2,0,-,-,3,0,0.02,0.03,0,-,-,-,-,-,-,-,-,-,-
178,145,占卜师（易者）,0,2,0,-,-,3,0,0.02,0.03,0,-,-,-,-,-,-,-,-,-,-
186,145,狸猫,0,2,0,5,-,3,0,0.02,0.03,0,0,0,0.06999999999999999,0,-,-,-,-,115,-
190,145,座敷童子,0,2,0,0,-,3,0,0.02,0.03,0,0,0,0,0,-,-,-,-,152,-
163,154,运松翁,1,1,100,1,0,2,160,0.01,0.02,0.02,0,0,0.01,0,0,0,0,0,140,141
90,154,八尺大人,0,1,0,-,-,2,0,0.01,0.02,0,-,-,-,-,-,-,-,-,-,-
91,154,彭祖,0,1,0,-,-,2,0,0.01,0.02,0,-,-,-,-,-,-,-,-,-,-
105,154,幽玄魔眼,0,1,0,1,2,2,0,0.01,0.02,0,0,0,0.01,0,0,0,0.03,0,140,121
120,154,留琴,0,1,0,0,1,2,0,0.01,0.02,0,0,0,0,0,0,0,0.02,0,152,130
121,154,玛○奇,0,1,0,2,1,2,0,0.01,0.02,0,0,0,0.03,0,0,0,0.02,0,129,130
122,154,苏格拉底,0,1,0,-,-,2,0,0.01,0.02,0,-,-,-,-,-,-,-,-,-,-
128,154,萨拉,0,1,0,0,0,2,0,0.01,0.02,0,0,0,0,0,0,0,0,0,152,141
129,154,露易兹,0,1,0,1,1,2,0,0.01,0.02,0,0,0,0.01,0,0,0,0.02,0,140,130
151,154,天照大御神,0,1,0,2,0,2,0,0.01,0.02,0,1,50,0.03,0.02,0,0,0,0,129,141
153,154,天宇受卖命,0,1,0,2,0,2,0,0.01,0.02,0,1,50,0.03,0.02,0,0,0,0,129,141
157,154,瑞江浦岛子,0,1,0,1,0,2,0,0.01,0.02,0,0,0,0.01,0,0,0,0,0,140,141
160,154,野槌,0,1,0,0,0,2,0,0.01,0.02,0,0,0,0,0,0,0,0,0,152,141
161,154,酒虫,0,1,0,-,-,2,0,0.01,0.02,0,-,-,-,-,-,-,-,-,-,-
164,154,久米 / 竿打,0,1,0,0,1,2,0,0.01,0.02,0,0,0,0,0,1,100,0.02,0.02,152,130
165,154,管狐,0,1,0,0,-,2,0,0.01,0.02,0,0,0,0,0,-,-,-,-,152,-
167,154,万岁乐,0,1,0,-,-,2,0,0.01,0.02,0,-,-,-,-,-,-,-,-,-,-
169,154,邪龙,0,1,0,1,1,2,0,0.01,0.02,0,0,0,0.01,0,0,0,0.02,0,140,130
188,154,野铁炮,0,1,0,-,-,2,0,0.01,0.02,0,-,-,-,-,-,-,-,-,-,-
93,173,尼西号,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
111,173,Flower～战车,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,141
112,173,邪眼西格玛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,141
149,173,石长姬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,141
152,173,石凝老命,0,0,0,2,0,0,0,0,0,0,1,50,0.03,0.02,0,0,0,0,129,141
154,173,伊豆能卖,0,0,0,2,0,0,0,0,0,0,1,50,0.03,0.02,0,0,0,0,129,141
155,173,火雷神,0,0,0,2,0,0,0,0,0,0,1,50,0.03,0.02,0,0,0,0,129,141
158,173,前鬼 / 后鬼,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
166,173,水鬼鬼神长,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0,152,130
168,173,人面犬,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
170,173,烟烟罗,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,141
171,173,卓柏卡布拉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,141
172,173,沓颊,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,-,-,-,152,-
174,173,怨灵少女,0,0,0,1,-,0,0,0,0,0,0,0,0.01,0,-,-,-,-,140,-
175,173,佑天上人,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,-,-,-,152,-
177,173,白仙和尚,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,-,-,-,152,-
182,173,怨灵,0,0,0,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-
184,173,幽灵,0,0,0,2,3,0,0,0,0,0,0,0,0.03,0,0,0,0.05,0,129,117
189,173,大地精,0,0,0,2,-,0,0,0,0,0,2,100,0.03,0.03,-,-,-,-,129,-
