region,round,round_label,category,entity_id,canonical_name,name_jp,name_cn,rank,equal_rank,old_2_1_rank,points,old_2_1_points,primary_count,secondary_count,other_count,selection_count,ballots,primary_rate,secondary_rate,top2_rate,selection_rate,male_rate,female_rate,other_gender_rate,under20_rate,overall_male_rate,overall_female_rate,overall_other_gender_rate,equal_rank_change,source_type
cn,1,CN1,character,63,寅丸星,寅丸 星,寅丸星,67,67,,43.0,,3.0,,37.0,40.0,6365,0.075,,,0.006284367635506678,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,58,娜兹玲,ナズーリン,娜兹玲,68,68,,45.0,,6.0,,33.0,39.0,6365,0.15384615384615385,,,0.00612725844461901,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,76,二岩猯藏,二ッ岩 マミゾウ,二岩猯藏,69,69,,41.0,,4.0,,33.0,37.0,6365,0.10810810810810811,,,0.005813040062843677,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,24,魂魄妖忌,魂魄 妖忌,魂魄妖忌,69,69,,41.0,,4.0,,33.0,37.0,6365,0.10810810810810811,,,0.005813040062843677,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,70,幽谷响子,幽谷 響子,幽谷响子,71,71,,39.0,,3.0,,33.0,36.0,6365,0.08333333333333333,,,0.005655930871956009,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,40,秋静叶,秋 静葉,秋静叶,72,72,,31.0,,1.0,,29.0,30.0,6365,0.03333333333333333,,,0.004713275726630008,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,17,露娜萨普莉兹姆利巴,ルナサ・プリズムリバー,露娜萨·普莉兹姆利巴,72,72,,35.0,,5.0,,25.0,30.0,6365,0.16666666666666666,,,0.004713275726630008,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,116,斯塔萨菲雅,スターサファイア,斯塔萨菲雅,74,74,,34.0,,6.0,,22.0,28.0,6365,0.21428571428571427,,,0.004399057344854674,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,41,秋穰子,秋 穣子,秋穰子,74,74,,30.0,,2.0,,26.0,28.0,6365,0.07142857142857142,,,0.004399057344854674,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,19,莉莉卡普莉兹姆利巴,リリカ・プリズムリバー,莉莉卡·普莉兹姆利巴,74,74,,31.0,,3.0,,25.0,28.0,6365,0.10714285714285714,,,0.004399057344854674,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,13,蕾迪霍瓦特洛克,,蕾迪·霍瓦特洛克,77,77,,30.0,,3.0,,24.0,27.0,6365,0.1111111111111111,,,0.004241948153967007,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,102,幻月,幻月,幻月,78,78,,24.0,,2.0,,20.0,22.0,6365,0.09090909090909091,,,0.0034564021995286726,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,114,桑尼米尔克,サニーミルク,桑尼米尔克,78,78,,24.0,,2.0,,20.0,22.0,6365,0.09090909090909091,,,0.0034564021995286726,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,27,莉格露奈特巴格,リグル・ナイトバグ,莉格露·奈特巴格,78,78,,23.0,,1.0,,21.0,22.0,6365,0.045454545454545456,,,0.0034564021995286726,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,51,黑谷山女,黒谷 ヤマメ,黑谷山女,78,78,,22.0,,0.0,,22.0,22.0,6365,0.0,,,0.0034564021995286726,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,118,绵月依姬,綿月 依姫,绵月依姬,82,82,,21.0,,0.0,,21.0,21.0,6365,0.0,,,0.0032992930086410055,,,,,,,,0,cn_normalized_workbook
cn,1,CN1,character,115,露娜切露德,ルナチャイルド,露娜切露德,82,82,,23.0,,2.0,,19.0,21.0,6365,0.09523809523809523,,,0.0032992930086410055,,,,,,,,0,cn_normalized_workbook
