id,index,name,first,cname,imp,total,11,35,male,female,mratio,mtratio,fratio,ftratio,love1,love2,love3,love4
390,172,53ミニッツの青い海,6,53分钟的蓝色大海,,38,22,12|4|22|0,22,16,57.89,0.48,42.11,1.1199999999999999,31.580000000000002,10.530000000000001,57.89,0
183,172,Eternal Dream　～ 幽玄の槭樹,3,Eternal Dream　～ 幽玄的枫树,（梦违科学世纪）,38,25,13|3|22|0,25,13,65.79,0.54,34.21,0.91,34.21,7.89,57.89,0
204,174,人恋し神様　～ Romantic Fall,1,眷爱众生之神　～ Romantic Fall,,37,28,7|6|24|0,28,9,75.68,0.61,24.32,0.63,18.92,16.220000000000002,64.86,0
198,175,天狗の手帖　～ Mysterious Note,3,天狗的笔记 ～ Mysterious Note,,36,25,9|0|27|0,25,11,69.44,0.54,30.56,0.77,25,0,75,0
275,175,ぼくらの非想天則,3,我们的非想天则,,36,31,5|3|28|0,31,5,86.11,0.67,13.889999999999999,0.35000000000000003,13.889999999999999,8.33,77.78,0
381,177,魔術師メリー,3,魔术师梅莉,,35,20,9|2|24|0,20,15,57.14,0.43,42.86,1.05,25.71,5.71,68.57,0
234,177,天衣無縫,1,天衣无缝,,35,26,3|4|28|0,26,9,74.29,0.5599999999999999,25.71,0.63,8.57,11.43,80,0
265,177,魔界地方都市エソテリア,1,魔界地方都市秘境,,35,25,17|1|17|0,25,10,71.43,0.54,28.57,0.7000000000000001,48.57,2.86,48.57,0
310,177,塵界不変のペシミズム,0,尘世不变的悲观主义,,35,31,8|2|25|0,31,4,88.57000000000001,0.67,11.43,0.27999999999999997,22.86,5.71,71.43,0
396,181,衛星カフェテラス,2,卫星露天咖啡屋,,34,25,6|5|23|0,25,9,73.53,0.54,26.47,0.63,17.65,14.71,67.65,0
397,181,G Free,0,G Free,,34,27,8|3|23|0,27,7,79.41,0.59,20.59,0.49,23.53,8.82,67.65,0
140,183,妖々跋扈,2,妖妖跋扈,,33,22,6|4|23|0,22,11,66.67,0.48,33.33,0.77,18.18,12.120000000000001,69.69999999999999,0
410,183,日本中の不思議を集めて,2,收集日本各地的不可思议,,33,27,13|1|19|0,27,6,81.82000000000001,0.59,18.18,0.42,39.39,3.0300000000000002,57.58,0
46,183,非統一魔法世界論,1,非统一魔法世界论,,33,22,3|3|27|0,22,11,66.67,0.48,33.33,0.77,9.09,9.09,81.82000000000001,0
360,183,兎は舞い降りた,1,兔已着陆,,33,18,12|1|20|0,18,15,54.55,0.38999999999999996,45.45,1.05,36.36,3.0300000000000002,60.61,0
322,187,柳の下のデュラハン,5,柳树下的杜拉罕,,32,17,8|1|23|0,17,15,53.13,0.37,46.88,1.05,25,3.1300000000000003,71.88,0
383,187,過去の花　～ Fairy of Flower,2,过去的花 ～ Fairy of Flower,,32,25,3|5|24|0,25,7,78.13,0.54,21.88,0.49,9.379999999999999,15.629999999999999,75,0
214,187,御柱の墓場　～ Grave of Being,1,御柱的墓场 ～ Grave of Being,,32,22,12|2|18|0,22,10,68.75,0.48,31.25,0.7000000000000001,37.5,6.25,56.25,0
432,190,妖精大戦争　～ Fairy Wars,4,妖精大战争 ～Faily Wars,（妖精大战争）,31,25,6|5|20|0,25,6,80.65,0.54,19.35,0.42,19.35,16.13,64.52,0
250,190,業火マントル,3,业火地幔,,31,19,11|2|18|0,19,12,61.29,0.41000000000000003,38.71,0.84,35.480000000000004,6.45,58.06,0
398,190,大空魔術　～ Magical Astronomy,3,太空魔术 ～ Magical Astronomy,,31,23,4|0|27|0,23,8,74.19,0.5,25.81,0.5599999999999999,12.9,0,87.1,0
408,190,アガルタの風,3,阿加尔塔之风,,31,23,13|1|17|0,23,8,74.19,0.5,25.81,0.5599999999999999,41.94,3.2300000000000004,54.84,0
419,190,魔法使いの憂鬱,3,魔法使的忧郁,,31,21,7|2|22|0,21,10,67.74,0.45999999999999996,32.26,0.7000000000000001,22.58,6.45,70.97,0
91,190,Romantic Children,1,Romantic Children,,31,17,10|1|20|0,17,14,54.84,0.37,45.16,0.98,32.26,3.2300000000000004,64.52,0
112,196,ルーネイトエルフ,2,Lunate Elf,,30,22,3|1|26|0,22,8,73.33,0.48,26.669999999999998,0.5599999999999999,10,3.3300000000000005,86.67,0
5,196,東方怪奇談,1,东方怪奇谈,（蓬莱人形）,30,20,7|3|19|1,20,10,66.67,0.43,33.33,0.7000000000000001,23.330000000000002,10,63.33,3.3300000000000005
443,198,魔法少女十字軍,2,魔法少女十字军,（莲台野夜行）,29,20,2|1|26|0,20,9,68.97,0.43,31.03,0.63,6.9,3.45,89.66,0
26,198,Complete Darkness,1,Complete Darkness,,29,17,10|2|17|0,17,12,58.620000000000005,0.37,41.38,0.84,34.48,6.9,58.620000000000005,0
58,200,幻想郷 ～ Lotus Land Story,1,幻想乡 ～ Lotus Land Story,,28,23,3|0|25|0,23,5,82.14,0.5,17.86,0.35000000000000003,10.71,0,89.29,0
359,200,忘れがたき、よすがの緑,1,忘不了，那曾依藉的绿意,,28,22,12|0|16|0,22,6,78.57,0.48,21.43,0.42,42.86,0,57.14,0
331,200,魔力の雷雲,0,魔力的雷云,,28,19,9|1|18|0,19,9,67.86,0.41000000000000003,32.14,0.63,32.14,3.5700000000000003,64.29,0
386,200,華胥の夢,0,华胥之梦,,28,26,7|4|17|0,26,2,92.86,0.5599999999999999,7.140000000000001,0.13999999999999999,25,14.29,60.709999999999994,0
233,204,黒い海に紅く ～ Legendary Fish,3,黑海之红 ～ Legendary Fish,,27,21,9|2|16|0,21,6,77.78,0.45999999999999996,22.220000000000002,0.42,33.33,7.41,59.260000000000005,0
316,204,暁雲,2,晓云,,27,20,5|0|22|0,20,7,74.07000000000001,0.43,25.929999999999996,0.49,18.52,0,81.47999999999999,0
388,204,夢と現の境界,2,梦境与现实的境界,,27,15,9|0|18|0,15,12,55.559999999999995,0.33,44.440000000000005,0.84,33.33,0,66.67,0
409,204,イザナギオブジェクト,1,伊奘诺物质,,27,17,5|4|18|0,17,10,62.96000000000001,0.37,37.04,0.7000000000000001,18.52,14.81,66.67,0
120,208,ツェペシュの幼き末裔,1,特佩斯的年幼末裔,,26,18,7|1|18|0,18,8,69.23,0.38999999999999996,30.769999999999996,0.5599999999999999,26.919999999999998,3.85,69.23,0
405,208,宇宙に浮かぶ幻想郷,1,漂浮于宇宙之中的幻想乡,,26,19,8|1|17|0,19,7,73.08,0.41000000000000003,26.919999999999998,0.49,30.769999999999996,3.85,65.38000000000001,0
258,208,小さな小さな賢将,0,小小的贤将,,26,13,2|0|24|0,13,13,50,0.27999999999999997,50,0.91,7.6899999999999995,0,92.31,0
287,208,いたずらに命をかけて,0,赌上性命恶作剧,（三月精）,26,22,4|3|19|0,22,4,84.61999999999999,0.48,15.379999999999999,0.27999999999999997,15.379999999999999,11.540000000000001,73.08,0
