id,vote,first,info,type,chara1,charaName1,chara2,charaName2,chara3,charaName3,male,female,hmratio,hfratio,hmaratio,hfaratio,vector1,vector2,vector3,vector0,ratio,vratio
45,118,14,<a href='./?m=info&type=cp&id=079080081' target='_blank'>点击查看详情</a>,1,79,<a href='./?m=info&type=chara&id=79' target='_blank'>若鹭姬</a>,80,<a href='./?m=info&type=chara&id=80' target='_blank'>赤蛮奇</a>,81,<a href='./?m=info&type=chara&id=81' target='_blank'>今泉影狼</a>,111,7,94.07%,5.93%,1.12%,0.41%,0.85%,3.39%,5.08%,90.68%,11.86,1.42%
46,629,131,<a href='./?m=info&type=cp&id=004005000' target='_blank'>点击查看详情</a>,1,4,<a href='./?m=info&type=chara&id=4' target='_blank'>大妖精</a>,5,<a href='./?m=info&type=chara&id=5' target='_blank'>琪露诺</a>,0,-,574,55,91.26%,8.74%,5.77%,3.2%,14.47%,21.94%,-,63.59%,20.83,7.6%
47,18,3,<a href='./?m=info&type=cp&id=059080000' target='_blank'>点击查看详情</a>,1,59,<a href='./?m=info&type=chara&id=59' target='_blank'>多多良小伞</a>,80,<a href='./?m=info&type=chara&id=80' target='_blank'>赤蛮奇</a>,0,-,16,2,88.89%,11.11%,0.16%,0.12%,22.22%,22.22%,-,55.56%,16.67,0.22%
48,864,240,<a href='./?m=info&type=cp&id=009010000' target='_blank'>点击查看详情</a>,1,9,<a href='./?m=info&type=chara&id=9' target='_blank'>十六夜咲夜</a>,10,<a href='./?m=info&type=chara&id=10' target='_blank'>蕾米莉亚·斯卡蕾特</a>,0,-,715,149,82.75%,17.25%,7.18%,8.67%,20.72%,22.8%,-,56.48%,27.78,10.43%
49,770,193,<a href='./?m=info&type=cp&id=029034000' target='_blank'>点击查看详情</a>,1,29,<a href='./?m=info&type=chara&id=29' target='_blank'>上白泽慧音</a>,34,<a href='./?m=info&type=chara&id=34' target='_blank'>藤原妹红</a>,0,-,577,193,74.94%,25.06%,5.8%,11.23%,15.45%,25.19%,-,59.35%,25.06,9.3%
50,533,113,<a href='./?m=info&type=cp&id=020021000' target='_blank'>点击查看详情</a>,1,20,<a href='./?m=info&type=chara&id=20' target='_blank'>魂魄妖梦</a>,21,<a href='./?m=info&type=chara&id=21' target='_blank'>西行寺幽幽子</a>,0,-,468,65,87.8%,12.2%,4.7%,3.78%,5.07%,46.9%,-,48.03%,21.2,6.44%
51,170,37,<a href='./?m=info&type=cp&id=032033000' target='_blank'>点击查看详情</a>,1,32,<a href='./?m=info&type=chara&id=32' target='_blank'>八意永琳</a>,33,<a href='./?m=info&type=chara&id=33' target='_blank'>蓬莱山辉夜</a>,0,-,114,56,67.06%,32.94%,1.15%,3.26%,21.76%,19.41%,-,58.82%,21.76,2.05%
52,167,24,<a href='./?m=info&type=cp&id=052053000' target='_blank'>点击查看详情</a>,1,52,<a href='./?m=info&type=chara&id=52' target='_blank'>水桥帕露西</a>,53,<a href='./?m=info&type=chara&id=53' target='_blank'>星熊勇仪</a>,0,-,125,42,74.85%,25.15%,1.26%,2.44%,5.39%,43.71%,-,50.9%,14.37,2.02%
53,831,222,<a href='./?m=info&type=cp&id=006009000' target='_blank'>点击查看详情</a>,1,6,<a href='./?m=info&type=chara&id=6' target='_blank'>红美铃</a>,9,<a href='./?m=info&type=chara&id=9' target='_blank'>十六夜咲夜</a>,0,-,687,144,82.67%,17.33%,6.9%,8.38%,30.08%,18.41%,-,51.5%,26.71,10.04%
54,242,72,<a href='./?m=info&type=cp&id=001002015' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,15,<a href='./?m=info&type=chara&id=15' target='_blank'>爱丽丝·玛格特洛依德</a>,215,27,88.84%,11.16%,2.16%,1.57%,6.61%,23.14%,2.89%,67.36%,29.75,2.92%
55,11,2,<a href='./?m=info&type=cp&id=181227000' target='_blank'>点击查看详情</a>,1,181,<a href='./?m=info&type=chara&id=181' target='_blank'>UFO</a>,227,<a href='./?m=info&type=chara&id=227' target='_blank'>动物灵（含野狼、水獭、大鹫）</a>,0,-,11,0,100%,0%,0.11%,0%,9.09%,9.09%,-,81.82%,18.18,0.13%
56,127,25,<a href='./?m=info&type=cp&id=002008000' target='_blank'>点击查看详情</a>,1,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,8,<a href='./?m=info&type=chara&id=8' target='_blank'>帕秋莉·诺蕾姬</a>,0,-,101,26,79.53%,20.47%,1.01%,1.51%,43.31%,16.54%,-,40.16%,19.69,1.53%
57,300,57,<a href='./?m=info&type=cp&id=064075000' target='_blank'>点击查看详情</a>,1,64,<a href='./?m=info&type=chara&id=64' target='_blank'>圣白莲</a>,75,<a href='./?m=info&type=chara&id=75' target='_blank'>丰聪耳神子</a>,0,-,210,90,70%,30%,2.11%,5.24%,15.67%,13%,-,71.33%,19,3.62%
58,37,12,<a href='./?m=info&type=cp&id=074075000' target='_blank'>点击查看详情</a>,1,74,<a href='./?m=info&type=chara&id=74' target='_blank'>物部布都</a>,75,<a href='./?m=info&type=chara&id=75' target='_blank'>丰聪耳神子</a>,0,-,22,15,59.46%,40.54%,0.22%,0.87%,5.41%,62.16%,-,32.43%,32.43,0.45%
59,841,276,<a href='./?m=info&type=cp&id=057077000' target='_blank'>点击查看详情</a>,1,57,<a href='./?m=info&type=chara&id=57' target='_blank'>古明地恋</a>,77,<a href='./?m=info&type=chara&id=77' target='_blank'>秦心</a>,0,-,739,102,87.87%,12.13%,7.42%,5.93%,40.78%,2.02%,-,57.19%,32.82,10.16%
60,381,84,<a href='./?m=info&type=cp&id=045046047' target='_blank'>点击查看详情</a>,1,45,<a href='./?m=info&type=chara&id=45' target='_blank'>东风谷早苗</a>,46,<a href='./?m=info&type=chara&id=46' target='_blank'>八坂神奈子</a>,47,<a href='./?m=info&type=chara&id=47' target='_blank'>洩矢诹访子</a>,330,51,86.61%,13.39%,3.31%,2.97%,7.61%,7.09%,7.61%,77.69%,22.05,4.6%
61,34,4,<a href='./?m=info&type=cp&id=036037000' target='_blank'>点击查看详情</a>,1,36,<a href='./?m=info&type=chara&id=36' target='_blank'>梅蒂欣·梅兰可莉</a>,37,<a href='./?m=info&type=chara&id=37' target='_blank'>风见幽香</a>,0,-,28,6,82.35%,17.65%,0.28%,0.35%,5.88%,41.18%,-,52.94%,11.76,0.41%
62,6,0,<a href='./?m=info&type=cp&id=118134000' target='_blank'>点击查看详情</a>,1,118,<a href='./?m=info&type=chara&id=118' target='_blank'>冈崎梦美</a>,134,<a href='./?m=info&type=chara&id=134' target='_blank'>宇佐见莲子</a>,0,-,4,2,66.67%,33.33%,0.04%,0.12%,0%,0%,-,100%,,0.07%
63,270,82,<a href='./?m=info&type=cp&id=011057000' target='_blank'>点击查看详情</a>,1,11,<a href='./?m=info&type=chara&id=11' target='_blank'>芙兰朵露·斯卡蕾特</a>,57,<a href='./?m=info&type=chara&id=57' target='_blank'>古明地恋</a>,0,-,224,46,82.96%,17.04%,2.25%,2.68%,2.22%,25.19%,-,72.59%,30.37,3.26%
64,76,28,<a href='./?m=info&type=cp&id=001002045' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,45,<a href='./?m=info&type=chara&id=45' target='_blank'>东风谷早苗</a>,67,9,88.16%,11.84%,0.67%,0.52%,27.63%,3.95%,3.95%,64.47%,36.84,0.92%
65,144,42,<a href='./?m=info&type=cp&id=009010011' target='_blank'>点击查看详情</a>,1,9,<a href='./?m=info&type=chara&id=9' target='_blank'>十六夜咲夜</a>,10,<a href='./?m=info&type=chara&id=10' target='_blank'>蕾米莉亚·斯卡蕾特</a>,11,<a href='./?m=info&type=chara&id=11' target='_blank'>芙兰朵露·斯卡蕾特</a>,129,15,89.58%,10.42%,1.3%,0.87%,23.61%,22.92%,6.25%,47.22%,29.17,1.74%
66,10,2,<a href='./?m=info&type=cp&id=084096097' target='_blank'>点击查看详情</a>,1,84,<a href='./?m=info&type=chara&id=84' target='_blank'>鬼人正邪</a>,96,<a href='./?m=info&type=chara&id=96' target='_blank'>哆来咪·苏伊特</a>,97,<a href='./?m=info&type=chara&id=97' target='_blank'>稀神探女</a>,7,3,70%,30%,0.07%,0.17%,0%,10%,10%,80%,20,0.12%
67,252,59,<a href='./?m=info&type=cp&id=099100000' target='_blank'>点击查看详情</a>,1,99,<a href='./?m=info&type=chara&id=99' target='_blank'>纯狐</a>,100,<a href='./?m=info&type=chara&id=100' target='_blank'>赫卡提亚·拉碧斯拉祖利</a>,0,-,174,78,69.05%,30.95%,1.75%,4.54%,8.33%,23.02%,-,68.65%,23.41,3.04%
68,3,1,<a href='./?m=info&type=cp&id=006006000' target='_blank'>点击查看详情</a>,1,6,<a href='./?m=info&type=chara&id=6' target='_blank'>红美铃</a>,6,<a href='./?m=info&type=chara&id=6' target='_blank'>红美铃</a>,0,-,2,1,66.67%,33.33%,0.02%,0.06%,0%,0%,-,100%,33.33,0.04%
69,81,10,<a href='./?m=info&type=cp&id=006011000' target='_blank'>点击查看详情</a>,1,6,<a href='./?m=info&type=chara&id=6' target='_blank'>红美铃</a>,11,<a href='./?m=info&type=chara&id=11' target='_blank'>芙兰朵露·斯卡蕾特</a>,0,-,64,17,79.01%,20.99%,0.64%,0.99%,13.58%,24.69%,-,61.73%,12.35,0.98%
70,18,9,<a href='./?m=info&type=cp&id=001001000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,0,-,14,4,77.78%,22.22%,0.14%,0.23%,0%,0%,-,100%,50,0.22%
71,387,108,<a href='./?m=info&type=cp&id=020031000' target='_blank'>点击查看详情</a>,1,20,<a href='./?m=info&type=chara&id=20' target='_blank'>魂魄妖梦</a>,31,<a href='./?m=info&type=chara&id=31' target='_blank'>铃仙·优昙华院·因幡</a>,0,-,361,26,93.28%,6.72%,3.63%,1.51%,16.28%,13.7%,-,70.03%,27.91,4.67%
72,43,4,<a href='./?m=info&type=cp&id=035047000' target='_blank'>点击查看详情</a>,1,35,<a href='./?m=info&type=chara&id=35' target='_blank'>射命丸文</a>,47,<a href='./?m=info&type=chara&id=47' target='_blank'>洩矢诹访子</a>,0,-,41,2,95.35%,4.65%,0.41%,0.12%,9.3%,37.21%,-,53.49%,9.3,0.52%
73,1,0,<a href='./?m=info&type=cp&id=047145000' target='_blank'>点击查看详情</a>,1,47,<a href='./?m=info&type=chara&id=47' target='_blank'>洩矢诹访子</a>,145,<a href='./?m=info&type=chara&id=145' target='_blank'>茨木华扇</a>,0,-,1,0,100%,0%,0.01%,0%,100%,0%,-,0%,,0.01%
74,33,4,<a href='./?m=info&type=cp&id=094095000' target='_blank'>点击查看详情</a>,1,94,<a href='./?m=info&type=chara&id=94' target='_blank'>清兰</a>,95,<a href='./?m=info&type=chara&id=95' target='_blank'>铃瑚</a>,0,-,29,4,87.88%,12.12%,0.29%,0.23%,0%,15.15%,-,84.85%,12.12,0.4%
