original_page,original_name_jp,original_name_cn,first_release_work,first_release_date,first_release_date_raw,arrangement_count,vocal_count,arrange_count,dated_arrangement_count,undated_arrangement_count,timeline_available,source_page_url,source_frontend_url,count_basis,observed_at_utc
伊奘诺物质（曲目）,イザナギオブジェクト,伊奘诺物质,伊奘诺物质,2012-08-11,1/2012/8/11,311,108,203,311,0,True,https://thwiki.cc/%E4%BC%8A%E5%A5%98%E8%AF%BA%E7%89%A9%E8%B4%A8%EF%BC%88%E6%9B%B2%E7%9B%AE%EF%BC%89,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
伏瓦鲁魔法图书馆,ヴワル魔法図書館,伏瓦鲁魔法图书馆,东方红魔乡,2002-08-11,1/2002/8/11,1151,366,785,1148,3,True,https://thwiki.cc/%E4%BC%8F%E7%93%A6%E9%B2%81%E9%AD%94%E6%B3%95%E5%9B%BE%E4%B9%A6%E9%A6%86,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
众神眷恋的幻想乡,神々が恋した幻想郷,众神眷恋的幻想乡,东方风神录体验版,2007-05-20,1/2007/5/20,1847,617,1230,1835,12,True,https://thwiki.cc/%E4%BC%97%E7%A5%9E%E7%9C%B7%E6%81%8B%E7%9A%84%E5%B9%BB%E6%83%B3%E4%B9%A1,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
优雅而愉悦的犯罪,美しく心地の良い犯罪,优雅而愉悦的犯罪,灵长新益京,2026-08-16,1/2026/8/16,0,0,0,0,0,True,https://thwiki.cc/%E4%BC%98%E9%9B%85%E8%80%8C%E6%84%89%E6%82%A6%E7%9A%84%E7%8A%AF%E7%BD%AA,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
会受稻田姬的斥责啦,稲田姫様に叱られるから,会受稻田姬的斥责啦,东方风神录体验版,2007-05-20,1/2007/5/20,1155,326,829,1149,6,True,https://thwiki.cc/%E4%BC%9A%E5%8F%97%E7%A8%BB%E7%94%B0%E5%A7%AC%E7%9A%84%E6%96%A5%E8%B4%A3%E5%95%A6,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
传说中的仙境,昔話わんだーらんど,传说中的仙境,东方封魔录,1997-08-15,1/1997/8/15,45,16,29,45,0,True,https://thwiki.cc/%E4%BC%A0%E8%AF%B4%E4%B8%AD%E7%9A%84%E4%BB%99%E5%A2%83,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
传说的巨神,伝説の巨神,传说的巨神,东方非想天则,2009-08-15,1/2009/8/15,15,2,13,15,0,True,https://thwiki.cc/%E4%BC%A0%E8%AF%B4%E7%9A%84%E5%B7%A8%E7%A5%9E,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
佐渡的二岩,佐渡の二ッ岩,佐渡的二岩,东方神灵庙,2011-08-13,1/2011/8/13,667,196,471,665,2,True,https://thwiki.cc/%E4%BD%90%E6%B8%A1%E7%9A%84%E4%BA%8C%E5%B2%A9,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
你所在之城的怪事,あなたの町の怪事件,你所在之城的怪事,东方文花帖DS,2010-03-14,1/2010/3/14,247,81,166,245,2,True,https://thwiki.cc/%E4%BD%A0%E6%89%80%E5%9C%A8%E4%B9%8B%E5%9F%8E%E7%9A%84%E6%80%AA%E4%BA%8B,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
你见到了那个影子吗,君はあの影を見たか,你见到了那个影子吗,东方非想天则,2009-08-15,1/2009/8/15,47,6,41,47,0,True,https://thwiki.cc/%E4%BD%A0%E8%A7%81%E5%88%B0%E4%BA%86%E9%82%A3%E4%B8%AA%E5%BD%B1%E5%AD%90%E5%90%97,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
俄耳甫斯的诗 ～ Pseudoclassic,オルフェの詩　～ Pseudoclassic,俄耳甫斯的诗　～ Pseudoclassic,稀翁玉,2001-12-30,1/2001/12/30,11,0,11,11,0,True,https://thwiki.cc/%E4%BF%84%E8%80%B3%E7%94%AB%E6%96%AF%E7%9A%84%E8%AF%97_%EF%BD%9E_Pseudoclassic,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
信仰是为了虚幻之人,信仰は儚き人間の為に,信仰是为了虚幻之人,东方风神录,2007-08-17,1/2007/8/17,2135,844,1291,2127,8,True,https://thwiki.cc/%E4%BF%A1%E4%BB%B0%E6%98%AF%E4%B8%BA%E4%BA%86%E8%99%9A%E5%B9%BB%E4%B9%8B%E4%BA%BA,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
光辉的天球仪,光輝く天球儀,光辉的天球仪,东方凭依华,2017-12-29,1/2017/12/29,4,1,3,4,0,True,https://thwiki.cc/%E5%85%89%E8%BE%89%E7%9A%84%E5%A4%A9%E7%90%83%E4%BB%AA,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
克服万千之试炼,千の試練を超えて,克服万千之试炼,东方凭依华,2017-12-29,1/2017/12/29,5,3,2,5,0,True,https://thwiki.cc/%E5%85%8B%E6%9C%8D%E4%B8%87%E5%8D%83%E4%B9%8B%E8%AF%95%E7%82%BC,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
兔已着陆,兎は舞い降りた,兔已着陆,东方绀珠传体验版,2015-05-10,1/2015/5/10,288,88,200,288,0,True,https://thwiki.cc/%E5%85%94%E5%B7%B2%E7%9D%80%E9%99%86,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
全有机体的记忆 ～ Memory of Fossil Energy.,有機体全てのメメント　～ Memory of Fossil Energy.,全有机体的记忆　～ Memory of Fossil Energy.,东方刚欲异闻,2021-10-24,1/2021/10/24,75,12,63,75,0,True,https://thwiki.cc/%E5%85%A8%E6%9C%89%E6%9C%BA%E4%BD%93%E7%9A%84%E8%AE%B0%E5%BF%86_%EF%BD%9E_Memory_of_Fossil_Energy.,https://cd.thwiki.cc/,THBWiki曲目原曲匹配；多原曲混曲会分别计入每个原曲,2026-09-04T07:18:56+00:00
