round,source_category,source_name,label,count,conditional_n,conditional_rate,overall_n,overall_rate,difference_percentage_points,lift
20,music,メイガスナイト,秋霜玉～紅魔郷（2002年8月）,6,603,0.009950248756218905,15783,0.008236710384591015,0.17135383716278904,1.208036739380023
20,music,メイガスナイト,紅魔郷～妖々夢（2003年8月）,7,603,0.011608623548922056,15783,0.020211620097573338,-0.8602996548651283,0.5743539356508991
20,music,メイガスナイト,妖々夢～永夜抄（2004年8月）,7,603,0.011608623548922056,15783,0.01089780143192042,0.07108221170016357,1.0652261946083537
20,music,メイガスナイト,永夜抄～萃夢想（2004年12月）,6,603,0.009950248756218905,15783,0.01007413039346132,-0.012388163724241438,0.9877029944616539
20,music,メイガスナイト,萃夢想～花映塚（2005年8月）,3,603,0.004975124378109453,15783,0.004181714502946208,0.0793409875163245,1.1897331524197197
20,music,メイガスナイト,花映塚～文花帖（2005年12月）,1,603,0.001658374792703151,15783,0.0045618703668504085,-0.29034955741472573,0.3635295743504699
20,music,メイガスナイト,文花帖～求聞史紀（2006年12月）,3,603,0.004975124378109453,15783,0.006652727618323513,-0.167760324021406,0.7478322672352523
20,music,メイガスナイト,求聞史紀～風神録（2007年8月）,19,603,0.03150912106135987,15783,0.018184122156750936,1.3324998904608933,1.7327820826182676
20,music,メイガスナイト,風神録～地霊殿（2008年8月）,32,603,0.05306799336650083,15783,0.04093011468035228,1.2137878686148553,1.2965512992313972
20,music,メイガスナイト,地霊殿～星蓮船（2009年8月）,23,603,0.03814262023217247,15783,0.032123170499904964,0.6019449732267507,1.18738653870686
20,music,メイガスナイト,星蓮船～妖精大戦争（2010年8月）,16,603,0.026533996683250415,15783,0.02578723943483495,0.0746757248415466,1.0289584020927305
20,music,メイガスナイト,妖精大戦争～神霊廟（2011年8月）,27,603,0.04477611940298507,15783,0.028131533928910855,1.6644585474074218,1.5916700282371923
20,music,メイガスナイト,神霊廟～求聞口授（2012年4月）,25,603,0.04145936981757877,15783,0.03649496293480327,0.4964406882775503,1.1360299198452184
20,music,メイガスナイト,求聞口授～輝針城（2013年8月）,33,603,0.05472636815920398,15783,0.03972628777798898,1.5000080381215004,1.3775857554333595
20,music,メイガスナイト,輝針城～アマノジャク（2014年5月）,39,603,0.06467661691542288,15783,0.056136349236520305,0.8540267678902578,1.1521343620497961
20,music,メイガスナイト,アマノジャク～紺珠伝（2015年8月）,28,603,0.04643449419568822,15783,0.06183868719508332,-1.5404192999395099,0.7508971535763803
20,music,メイガスナイト,紺珠伝～旧約酒場（2016年8月）,38,603,0.06301824212271974,15783,0.06944180447316733,-0.6423562350447596,0.9074971856048226
20,music,メイガスナイト,旧約酒場～天空璋（2017年8月）,40,603,0.06633499170812604,15783,0.06595704238737883,0.0377949320747209,1.0057302345142682
20,music,メイガスナイト,天空璋～ナイトメアダイアリー（2018年8月）,59,603,0.0978441127694859,15783,0.07780523347905975,2.003887929042615,1.2575518174599316
20,music,メイガスナイト,ナイトメアダイアリー〜鬼形獣（2019年8月）,60,603,0.09950248756218906,15783,0.09858708737248939,0.09154001896996694,1.009285193569428
20,music,メイガスナイト,鬼形獣～虹龍洞（2021年5月）,66,603,0.10945273631840796,15783,0.13451181651143634,-2.5059080193028382,0.8137035032093419
20,music,メイガスナイト,虹龍洞～バレットフィリア（2022年8月）,36,603,0.05970149253731343,15783,0.07096242792878414,-1.126093539147071,0.8413113006396588
20,music,メイガスナイト,バレットフィリア〜獣王園（2023年8月）,18,603,0.029850746268656716,15783,0.038965976050180574,-0.9115229781523858,0.766072078631234
20,music,メイガスナイト,獣王園〜現在,9,603,0.014925373134328358,15783,0.03579801051764557,-2.087263738331721,0.4169330339453176
