round,group,question_index,question_id,question,multi,option_index,option,all_count,male_count,female_count,sum_count,all_percent,male_percent,female_percent,total_all,total_male,total_female,total_diff
5,3,2,2,购买过二次同人作品吗（非国内作品）,0,0,热衷于购买,677,507,169,676,8.61,7.92,11.62,7860,6402,1455,3
5,3,2,2,购买过二次同人作品吗（非国内作品）,0,1,购买过,2425,1930,493,2423,30.85,30.15,33.88,7860,6402,1455,3
5,3,2,2,购买过二次同人作品吗（非国内作品）,0,2,想买但是没有条件,3221,2628,593,3221,40.98,41.05,40.76,7860,6402,1455,3
5,3,2,2,购买过二次同人作品吗（非国内作品）,0,3,没有考虑过,1537,1337,200,1537,19.55,20.88,13.75,7860,6402,1455,3
5,3,3,1,购买过什么类型的二次创作（非国内作品）,1,0,音乐类,1827,1466,359,1825,58.97,60.18,54.39,3098,2436,660,2
5,3,3,1,购买过什么类型的二次创作（非国内作品）,1,1,漫画类,1607,1182,424,1606,51.87,48.52,64.24,3098,2436,660,2
5,3,3,1,购买过什么类型的二次创作（非国内作品）,1,2,插画类,1239,896,343,1239,39.99,36.78,51.97,3098,2436,660,2
5,3,3,1,购买过什么类型的二次创作（非国内作品）,1,3,小说类,552,424,128,552,17.82,17.41,19.39,3098,2436,660,2
5,3,3,1,购买过什么类型的二次创作（非国内作品）,1,4,视频类,544,459,85,544,17.56,18.84,12.88,3098,2436,660,2
5,3,3,1,购买过什么类型的二次创作（非国内作品）,1,5,软件类,479,401,78,479,15.46,16.46,11.82,3098,2436,660,2
5,3,3,1,购买过什么类型的二次创作（非国内作品）,1,6,实物类,1023,808,215,1023,33.02,33.17,32.58,3098,2436,660,2
5,3,3,1,购买过什么类型的二次创作（非国内作品）,1,7,其他,244,190,54,244,7.88,7.8,8.18,3098,2436,660,2
5,3,4,2,购买二次创作的渠道一般是（非国内作品）,1,0,通过代购,1977,1552,423,1975,63.82,63.74,63.99,3098,2435,661,2
5,3,4,2,购买二次创作的渠道一般是（非国内作品）,1,1,购买二手,506,360,146,506,16.33,14.78,22.09,3098,2435,661,2
5,3,4,2,购买二次创作的渠道一般是（非国内作品）,1,2,委托朋友,756,578,178,756,24.4,23.74,26.93,3098,2435,661,2
5,3,4,2,购买二次创作的渠道一般是（非国内作品）,1,3,实地购买,1078,836,242,1078,34.8,34.33,36.61,3098,2435,661,2
5,3,4,2,购买二次创作的渠道一般是（非国内作品）,1,4,下载贩卖,461,382,79,461,14.88,15.69,11.95,3098,2435,661,2
5,3,5,3,能接受的单个作品购买价（包括运费）上限是（非国内作品）,0,0,总价50RMB以内,213,159,54,213,6.88,6.53,8.19,3096,2434,659,3
5,3,5,3,能接受的单个作品购买价（包括运费）上限是（非国内作品）,0,1,总价100RMB以内,618,472,145,617,19.96,19.39,22,3096,2434,659,3
5,3,5,3,能接受的单个作品购买价（包括运费）上限是（非国内作品）,0,2,总价150RMB以内,546,416,129,545,17.64,17.09,19.58,3096,2434,659,3
5,3,5,3,能接受的单个作品购买价（包括运费）上限是（非国内作品）,0,3,总价200RMB以内,658,541,117,658,21.25,22.23,17.75,3096,2434,659,3
5,3,5,3,能接受的单个作品购买价（包括运费）上限是（非国内作品）,0,4,总价300RMB以内,431,328,103,431,13.92,13.48,15.63,3096,2434,659,3
5,3,5,3,能接受的单个作品购买价（包括运费）上限是（非国内作品）,0,5,总价500RMB以内,348,280,67,347,11.24,11.5,10.17,3096,2434,659,3
5,3,5,3,能接受的单个作品购买价（包括运费）上限是（非国内作品）,0,6,总价500RMB以上,282,238,44,282,9.11,9.78,6.68,3096,2434,659,3
5,3,6,4,因何原因阻碍了购买（非国内作品）,1,0,价格过高,835,683,152,835,25.95,26.01,25.68,3218,2626,592,0
5,3,6,4,因何原因阻碍了购买（非国内作品）,1,1,缺少渠道,2116,1739,377,2116,65.76,66.22,63.68,3218,2626,592,0
5,3,6,4,因何原因阻碍了购买（非国内作品）,1,2,环境阻碍,1237,980,257,1237,38.44,37.32,43.41,3218,2626,592,0
5,3,6,4,因何原因阻碍了购买（非国内作品）,1,3,不懂日文（或其他外语）,1386,1120,266,1386,43.07,42.65,44.93,3218,2626,592,0
5,3,7,1,您的购买力范围是（单个作品的购买价，含运费）（非国内作品）,0,0,没有自主购买能力,108,82,26,108,13.04,12.09,17.33,828,678,150,0
5,3,7,1,您的购买力范围是（单个作品的购买价，含运费）（非国内作品）,0,1,总价50RMB以内,138,111,27,138,16.67,16.37,18,828,678,150,0
5,3,7,1,您的购买力范围是（单个作品的购买价，含运费）（非国内作品）,0,2,总价100RMB以内,290,245,45,290,35.02,36.14,30,828,678,150,0
5,3,7,1,您的购买力范围是（单个作品的购买价，含运费）（非国内作品）,0,3,总价150RMB以内,115,93,22,115,13.89,13.72,14.67,828,678,150,0
5,3,7,1,您的购买力范围是（单个作品的购买价，含运费）（非国内作品）,0,4,总价200RMB以内,113,91,22,113,13.65,13.42,14.67,828,678,150,0
5,3,7,1,您的购买力范围是（单个作品的购买价，含运费）（非国内作品）,0,5,总价300RMB以内,44,40,4,44,5.31,5.9,2.67,828,678,150,0
5,3,7,1,您的购买力范围是（单个作品的购买价，含运费）（非国内作品）,0,6,总价500RMB以内,20,16,4,20,2.42,2.36,2.67,828,678,150,0
