"sample_id","source_url","thread_title","related_round","total_reply_count","floor","sample_type","parent_floor","author","posted_date","location","character_cn_raw","raw_text","capture_scope","metric_note","observed_at"
"tieba_9996937304_f6_reply4","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","6","一般通过蕾米莉亚","2025-09-09","福建","十六夜咲夜","回复 博丽妖梦 :赢！","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f7_main","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","7","rank_heading","","博丽妖梦","2025-08-30","江西","蕾米莉亚·斯卡雷特","第六名：蕾米莉亚·斯卡雷特","pc_web_pagination_virtual_scroll","535为帖子全部回复数；本表每行是网页可见文本记录，禁止与票数、赞数或其他平台指标相加。","2026-08-24"
"tieba_9996937304_f7_reply1","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","7","柏崎栞","2025-08-31","广东","蕾米莉亚·斯卡雷特","万年老七前进了非常有上进心的大小姐","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f7_reply2","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","7","白绘-Palland","2025-09-01","湖北","蕾米莉亚·斯卡雷特","蕾咪可爱可爱可爱","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f7_reply3","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","7","蕾米莉亚の威严","2025-09-15","江西","蕾米莉亚·斯卡雷特","好歹进步了","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f8_main","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","8","rank_heading","","博丽妖梦","2025-08-30","江西","魂魄妖梦","第七名魂魄妖梦","pc_web_pagination_virtual_scroll","535为帖子全部回复数；本表每行是网页可见文本记录，禁止与票数、赞数或其他平台指标相加。","2026-08-24"
"tieba_9996937304_f8_reply1","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","8","贴吧用户_aRAUb1G","2025-08-31","浙江","魂魄妖梦","无限退步这波更是被红魔馆吸血鬼主仆疯狂肘击","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f8_reply2","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","8","贴吧用户_7SVXWUU","2025-08-31","江苏","魂魄妖梦","夹在姐姐组中间","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f8_reply3","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","8","范家发先生","2025-09-02","新疆","魂魄妖梦","回复 贴吧用户_aRAUb1G :落魄妖梦","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
"tieba_9996937304_f8_reply4","https://tieba.baidu.com/p/9996937304","2025东方project人气投票排名评价","21","535","","nested_reply","8","顽皮小龙虾261","2025-10-03","山东","魂魄妖梦","回复 顽皮小龙虾261 :补药💊，我的妖梦掉前五了","pc_web_visible_nested_replies","535为帖子全部回复数；楼中楼只记录PC网页当前展开可见文本，未展开计数不等于无回复。","2026-08-24"
