"sample_id","source_url","thread_title","related_round","total_reply_count","floor","sample_type","parent_floor","author","posted_date","character_cn_raw","raw_text","capture_scope","metric_note","observed_at"
"tieba_5517613326_f53_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","53","main_reply","","羽崎-","2018-01-16","","和天朝相差这么多呢 尤其是慧音的人气 话说若鹭姬就固定在80多了呀","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f54_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","54","main_reply","","sunny天海之蓝","2018-01-16","","蕾蒂啊。。。。QAQ","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f55_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","55","main_reply","","路边的tthie","2018-01-16","","天子这么高好开心","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f55_reply1","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","","nested_reply","55","路边的tthie","2018-01-16","","紫苑厉害","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f56_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","56","main_reply","","8野1兽0最美丽","2018-01-16","","她一直都在，陪了我们十年，票为什么那么低！","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f57_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","57","main_reply","","lwbpop","2018-01-16","","这仨哈哈哈哈哈哈，又到了宗教相簿的季节","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f58_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","58","main_reply","","Divii_di","2018-01-16","","抱住恋恋继续冲刺","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f67_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","67","main_reply","","又被小猪打哭","2018-01-16","","恋恋世界第一！","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f68_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","68","main_reply","","应用数学","2018-01-16","","那个雾雨的雨字怎么打出来的啊","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
"tieba_5517613326_f69_main","https://tieba.baidu.com/p/5517613326","第14回东方人气投票 第二日 推特晒票统计结果：","14","177","69","main_reply","","风中的翔","2018-01-16","","TKZ人气果然低","pc_web_pagination_virtual_scroll","177为帖子显示总回复数；本表记录网页可见文本，禁止与票数、推特晒票统计或其他互动量相加。","2026-08-24"
