alias_cn,canonical_cn,alias_type,source_character_cn_thb,source_character_jp,source_url,mapping_status,confidence,use_scope
戎璎花,戎璎花,thbwiki_cn_reference_name,戎璎花,戎 瓔花,https://thbwiki.cc/戎璎花,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
战车少女,里香,thbwiki_community_nickname_candidate,里香,里香,https://thbwiki.cc/里香,search_only_not_poll_normalized,low,search_vocabulary_only
折凳狂魔,北白河千百合,thbwiki_community_nickname_candidate,北白河千百合,北白河 ちゆり,https://thbwiki.cc/北白河千百合,search_only_not_poll_normalized,low,search_vocabulary_only
抱头蹲防,蕾米莉亚·斯卡蕾特,thbwiki_community_nickname_candidate,蕾米莉亚·斯卡蕾特,レミリア・スカーレット,https://thbwiki.cc/蕾米莉亚·斯卡蕾特,search_only_not_poll_normalized,low,search_vocabulary_only
提琴手,露娜萨·普莉兹姆利巴,thbwiki_community_nickname_candidate,露娜萨·普莉兹姆利巴,ルナサ・プリズムリバー,https://thbwiki.cc/露娜萨·普莉兹姆利巴,search_only_not_poll_normalized,low,search_vocabulary_only
摩多罗隐岐奈,摩多罗隐岐奈,thbwiki_cn_reference_name,摩多罗隐岐奈,摩多羅 隠岐奈,https://thbwiki.cc/摩多罗隐岐奈,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
教授,冈崎梦美,thbwiki_community_nickname_candidate,冈崎梦美,岡崎 夢美,https://thbwiki.cc/冈崎梦美,search_only_not_poll_normalized,low,search_vocabulary_only
文文,射命丸文,thbwiki_community_nickname_candidate,射命丸文,射命丸 文,https://thbwiki.cc/射命丸文,search_only_not_poll_normalized,low,search_vocabulary_only
斯塔萨菲雅,斯塔萨菲雅,thbwiki_cn_reference_name,斯塔萨菲雅,スターサファイア,https://thbwiki.cc/斯塔萨菲雅,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
无名的读书妖怪,无名的读书妖怪（朱鹭子）,thbwiki_cn_reference_name,无名的读书妖怪,名無しの本読み妖怪,https://thbwiki.cc/无名的读书妖怪,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
日白残无,日白残无,thbwiki_cn_reference_name,日白残无,日白 残無,https://thbwiki.cc/日白残无,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
明罗,明罗,thbwiki_cn_reference_name,明罗,明羅,https://thbwiki.cc/明罗,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
星熊勇仪,星熊勇仪,thbwiki_cn_reference_name,星熊勇仪,星熊 勇儀,https://thbwiki.cc/星熊勇仪,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
朝仓理香子,朝仓理香子,thbwiki_cn_reference_name,朝仓理香子,朝倉 理香子,https://thbwiki.cc/朝仓理香子,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
本居小铃,本居小铃,thbwiki_cn_reference_name,本居小铃,本居 小鈴,https://thbwiki.cc/本居小铃,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
朱鹭子,无名的读书妖怪（朱鹭子）,thbwiki_community_nickname_candidate,无名的读书妖怪,名無しの本読み妖怪,https://thbwiki.cc/无名的读书妖怪,search_only_not_poll_normalized,low,search_vocabulary_only
村纱水蜜,村纱水蜜,thbwiki_cn_reference_name,村纱水蜜,村紗 水蜜,https://thbwiki.cc/村纱水蜜,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
杖刀偶磨弓,杖刀偶磨弓,thbwiki_cn_reference_name,杖刀偶磨弓,杖刀偶 磨弓,https://thbwiki.cc/杖刀偶磨弓,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
极,姬海棠果,thbwiki_community_nickname_candidate,姬海棠果,姫海棠 はたて,https://thbwiki.cc/姬海棠果,search_only_not_poll_normalized,low,search_vocabulary_only
果果,姬海棠果,thbwiki_community_nickname_candidate,姬海棠果,姫海棠 はたて,https://thbwiki.cc/姬海棠果,search_only_not_poll_normalized,low,search_vocabulary_only
核能女仆,留琴,thbwiki_community_nickname_candidate,留琴,る～こと,https://thbwiki.cc/留琴,search_only_not_poll_normalized,low,search_vocabulary_only
桑尼米尔克,桑尼米尔克,thbwiki_cn_reference_name,桑尼米尔克,サニーミルク,https://thbwiki.cc/桑尼米尔克,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
桥姬,水桥帕露西,thbwiki_community_nickname_candidate,水桥帕露西,水橋 パルスィ,https://thbwiki.cc/水桥帕露西,search_only_not_poll_normalized,low,search_vocabulary_only
梅莉,玛艾露贝莉·赫恩,thbwiki_community_nickname_candidate,玛艾露贝莉·赫恩,マエリベリー・ハーン,https://thbwiki.cc/玛艾露贝莉·赫恩,search_only_not_poll_normalized,low,search_vocabulary_only
梅蒂欣·梅兰可莉,梅蒂欣·梅兰可莉,thbwiki_cn_reference_name,梅蒂欣·梅兰可莉,メディスン・メランコリー,https://thbwiki.cc/梅蒂欣·梅兰可莉,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
梅露兰·普莉兹姆利巴,梅露兰·普莉兹姆利巴,thbwiki_cn_reference_name,梅露兰·普莉兹姆利巴,メルラン・プリズムリバー,https://thbwiki.cc/梅露兰·普莉兹姆利巴,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
梦子,梦子,thbwiki_cn_reference_name,梦子,夢子,https://thbwiki.cc/梦子,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
梦月,梦月,thbwiki_cn_reference_name,梦月,夢月,https://thbwiki.cc/梦月,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
梦消失,卡娜·安娜贝拉尔,thbwiki_community_nickname_candidate,卡娜·安娜贝拉尔,カナ・アナベラル,https://thbwiki.cc/卡娜·安娜贝拉尔,search_only_not_poll_normalized,low,search_vocabulary_only
森近霖之助,森近霖之助,thbwiki_cn_reference_name,森近霖之助,森近 霖之助,https://thbwiki.cc/森近霖之助,matched_fun_by_jp_or_cn,high,poll_normalization_and_search
