character_cn,character_jp,round21_rank,first_appearance,official_identity,official_ability,canon_meme_material,derivative_misread_risk,thbwiki_url,access_status,verification_date,source_note,verification_status,research_scope
二岩猯藏,二ッ岩 マミゾウ,78,东方神灵庙,佐渡之二岩,,,,https://thbwiki.cc/二岩猯藏,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
稗田阿求,稗田 阿求,79,东方求闻史纪,幻想乡的记忆,,,,https://thbwiki.cc/稗田阿求,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
幻月,幻月,80,东方幻想乡,最凶最恶的Boss之姐,,,,https://thbwiki.cc/幻月,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
吉吊八千慧,吉弔 八千慧,81,东方鬼形兽,鬼杰组组长,,,,https://thbwiki.cc/吉吊八千慧,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
森近霖之助,森近 霖之助,82,东方香霖堂,香霖堂店主,,,,https://thbwiki.cc/森近霖之助,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
今泉影狼,今泉 影狼,83,东方辉针城,竹林的人狼,,,,https://thbwiki.cc/今泉影狼,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
星熊勇仪,星熊 勇儀,84,东方地灵殿,被谈论的怪力乱神,,,,https://thbwiki.cc/星熊勇仪,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
宇佐见堇子,宇佐見 菫子,85,东方深秘录,秘封俱乐部初代部长,,,,https://thbwiki.cc/宇佐见堇子,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
庭渡久侘歌,庭渡 久侘歌,86,东方鬼形兽,地狱口岸的守护神,,,,https://thbwiki.cc/庭渡久侘歌,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
少名针妙丸,少名 針妙丸,87,东方辉针城,小人的后裔,,,,https://thbwiki.cc/少名针妙丸,list_indexed_needs_primary_review,2026-08-24,THBWiki官方角色列表基础索引；列表的收录标准仅代表THBWiki，不代表官方意见；身份/称号仍待逐角色一设来源复核。,basic_index_only,included
