round,rank,character_cn,vote_count,primary_count,primary_rate,weighted_score,vote_share,primary_share,male_count,male_rate,female_count,female_rate,source_path,source_sheet
6,116,莉莉卡·普莉兹姆利巴,23,2,0.087,25,0.0031,0.0003,19,0.8261,4,0.1739,TouhouVote_cn.xlsx,6
6,116,梅露兰·普莉兹姆利巴,23,2,0.087,25,0.0031,0.0003,18,0.7826,5,0.2174,TouhouVote_cn.xlsx,6
6,118,铃瑚,22,0,0,22,0.003,0,12,0.5455,10,0.4545,TouhouVote_cn.xlsx,6
6,119,北白河千百合,21,2,0.0952,23,0.0028,0.0003,10,0.4762,11,0.5238,TouhouVote_cn.xlsx,6
6,120,胡桃,20,1,0.05,21,0.0027,0.0001,16,0.8,4,0.2,TouhouVote_cn.xlsx,6
6,121,艾丽,18,4,0.2222,22,0.0024,0.0006,11,0.6111,7,0.3889,TouhouVote_cn.xlsx,6
6,121,舞,18,0,0,18,0.0024,0,11,0.6111,7,0.3889,TouhouVote_cn.xlsx,6
6,123,梦子,17,1,0.0588,18,0.0023,0.0001,10,0.5882,7,0.4118,TouhouVote_cn.xlsx,6
6,124,梦月,15,1,0.0667,16,0.002,0.0001,9,0.6,6,0.4,TouhouVote_cn.xlsx,6
6,124,嫦娥,15,0,0,15,0.002,0,10,0.6667,5,0.3333,TouhouVote_cn.xlsx,6
6,126,小兔姬,14,2,0.1429,16,0.0019,0.0003,8,0.5714,6,0.4286,TouhouVote_cn.xlsx,6
6,126,命莲,14,0,0,14,0.0019,0,11,0.7857,3,0.2143,TouhouVote_cn.xlsx,6
6,128,非想天则,13,0,0,13,0.0017,0,12,0.9231,1,0.0769,TouhouVote_cn.xlsx,6
6,128,云山,13,0,0,13,0.0017,0,12,0.9231,1,0.0769,TouhouVote_cn.xlsx,6
6,130,妖精（含持花妖精，僵尸妖精）,11,1,0.0909,12,0.0015,0.0001,10,0.9091,1,0.0909,TouhouVote_cn.xlsx,6
6,130,矜羯罗,11,1,0.0909,12,0.0015,0.0001,4,0.3636,7,0.6364,TouhouVote_cn.xlsx,6
6,132,琪斯美,10,2,0.2,12,0.0013,0.0003,9,0.9,1,0.1,TouhouVote_cn.xlsx,6
6,132,大鲶鱼,10,2,0.2,12,0.0013,0.0003,7,0.7,3,0.3,TouhouVote_cn.xlsx,6
6,132,雪,10,1,0.1,11,0.0013,0.0001,8,0.8,2,0.2,TouhouVote_cn.xlsx,6
6,135,龙神,9,0,0,9,0.0012,0,9,1,0,0,TouhouVote_cn.xlsx,6
6,135,明罗,9,0,0,9,0.0012,0,3,0.3333,6,0.6667,TouhouVote_cn.xlsx,6
6,135,朝仓理香子,9,0,0,9,0.0012,0,1,0.1111,8,0.8889,TouhouVote_cn.xlsx,6
6,135,STG作品中没有名称的角色,9,0,0,9,0.0012,0,8,0.8889,1,0.1111,TouhouVote_cn.xlsx,6
6,135,里香,9,0,0,9,0.0012,0,6,0.6667,3,0.3333,TouhouVote_cn.xlsx,6
6,140,阴阳玉,8,0,0,8,0.0011,0,6,0.75,2,0.25,TouhouVote_cn.xlsx,6
6,140,Reisen,8,0,0,8,0.0011,0,8,1,0,0,TouhouVote_cn.xlsx,6
6,142,露易兹,7,1,0.1429,8,0.0009,0.0001,4,0.5714,3,0.4286,TouhouVote_cn.xlsx,6
6,142,玄爷,7,0,0,7,0.0009,0,6,0.8571,1,0.1429,TouhouVote_cn.xlsx,6
6,142,依莉斯,7,0,0,7,0.0009,0,3,0.4286,4,0.5714,TouhouVote_cn.xlsx,6
6,145,咪咪号,6,0,0,6,0.0008,0,3,0.5,3,0.5,TouhouVote_cn.xlsx,6
6,145,UFO,6,0,0,6,0.0008,0,6,1,0,0,TouhouVote_cn.xlsx,6
6,147,岩笠,5,1,0.2,6,0.0007,0.0001,5,1,0,0,TouhouVote_cn.xlsx,6
6,147,秦河胜,5,0,0,5,0.0007,0,1,0.2,4,0.8,TouhouVote_cn.xlsx,6
6,147,稻荷大人,5,0,0,5,0.0007,0,3,0.6,2,0.4,TouhouVote_cn.xlsx,6
