merge_group_id,canonical_track,source_row_count,sites,mapped_characters
music:764e2947d57d40b0,可爱的大战争叠奏曲,27,"[""cn"", ""jp""]",[]
music:d947b912c65753a9,可爱的恶魔 ~ Innocence,31,"[""cn"", ""jp""]",[]
music:17582dfdc4dd9cd8,各自的结局,20,"[""cn"", ""jp""]",[]
music:a0264791cda5dafa,合缘奇缘,13,"[""cn"", ""jp""]",[]
music:9e2dff7a78d780a3,同归于尽,11,"[""cn""]",[]
music:795eca7d59ddda6b,后院的妖怪参拜道,15,"[""cn"", ""jp""]",[]
music:a75a12e9645aba9c,含苞待放的凭依华,5,"[""cn""]",[]
music:9687198b7f201bc8,吸血怪兽卓柏卡布拉,5,"[""cn"", ""jp""]","[""天火人血枪""]"
music:080e0d780ea208d9,命运的阴暗面,29,"[""cn"", ""jp""]","[""键山雏""]"
music:11b81f0e4f1682c1,哈德曼的妖怪少女,28,"[""cn"", ""jp""]","[""古明地恋""]"
music:ebbc2ce228421131,嘲讽的游戏,28,"[""cn"", ""jp""]",[]
music:09f61cbdc5b85ee0,噩梦日记,13,"[""cn"", ""jp""]","[""宇佐见堇子""]"
music:b95653b56bb642a2,回忆京都,29,"[""cn"", ""jp""]",[]
music:9167321eeb2492cc,因夜失眠,21,"[""cn"", ""jp""]","[""露娜切露德""]"
music:21d21328743e57b4,圣徳伝说 ~ True Administrator,1,"[""cn""]",[]
music:0e24249569de22c7,圣德传说,24,"[""cn"", ""jp""]","[""丰聪耳神子""]"
music:3c05de9a7fc5b7c3,圣德太子的天马,11,"[""cn"", ""jp""]","[""骊驹早鬼""]"
music:130c778b976d5182,圣辇船飞向天空,14,"[""cn"", ""jp""]",[]
music:a42d3dafa9eda4fb,在深绿的狸森里,14,"[""cn"", ""jp""]",[]
music:505403f2b72657be,在美妙的墓地里住下吧,25,"[""cn"", ""jp""]",[]
music:877859dadecd544c,地之色乃黄色,23,"[""cn"", ""jp""]",[]
music:340cabc1b09ffbac,地之色乃黄色(地之色乃黄色 ~ Primrose),5,"[""cn""]",[]
music:b8b3d8492e643f6e,地底绽放的蔷薇,14,"[""cn"", ""jp""]",[]
music:ff601eb451f4bbc6,地灵们的归宅,3,"[""cn""]",[]
music:a8928c0460c2b789,地灵们的归家,25,"[""cn"", ""jp""]",[]
music:ec0537ad74c1ff45,地灵们的起床,28,"[""cn"", ""jp""]",[]
music:d403d81896640f47,境界民俗,6,"[""cn""]",[]
music:c981b8a02a9b8740,复仇女神的要塞,26,"[""cn"", ""jp""]",[]
music:1fd1649b5a740491,夏明,30,"[""cn"", ""jp""]",[]
music:d5e91de772837b61,夕阳下落,26,"[""cn"", ""jp""]",[]
music:6fdd82bc4a41dff0,外界民俗,20,"[""cn"", ""jp""]",[]
music:489c37d67857c154,夜幕降临,30,"[""cn"", ""jp""]","[""八云紫""]"
music:1b08b6cc969c67ae,夜晚无法入睡,8,"[""cn""]",[]
music:abeb724489d08a92,夜空中的UFO恋曲,27,"[""cn"", ""jp""]",[]
music:5d7a2d71507c4d19,夜雀的歌声,31,"[""cn"", ""jp""]","[""米斯蒂娅·萝蕾拉""]"
music:c523cd859fce9804,大吉猫咪,8,"[""cn"", ""jp""]","[""豪德寺三花""]"
music:1a350e8439a4dedf,"大地之底,刚欲之海",7,"[""cn"", ""jp""]",[]
music:389c23475ea2c431,大江山的花之酒宴,28,"[""cn"", ""jp""]","[""星熊勇仪""]"
music:23073040885eba14,大神神话伝,1,"[""cn""]",[]
music:5df853b33ba955d9,大神神话传,24,"[""cn"", ""jp""]","[""物部布都""]"
music:421ee466f01dfa4a,大空魔术 ~ Magical Astronomy,26,"[""cn"", ""jp""]",[]
music:4fdb38bd92979355,天使传说,29,"[""cn"", ""jp""]",[]
music:db95774b711f2a43,天狗正凝视着,29,"[""cn"", ""jp""]","[""射命丸文""]"
