round,source_rank,source_record_id,raw_title_jp,raw_title_cn,canonical_track,merge_basis,mapped_character,matched_existing_repaired_mapping,mapped_by_character_theme_overlay
21,139.0,63,魔女達の舞踏会,魔女们的舞会,魔女们的舞会,official_jp_user_repaired_exact,魔理沙,True,False
21,140.0,248,大神神話伝,大神神话传,大神神话传,official_jp_user_repaired_exact,物部布都,True,False
21,141.0,252,佐渡の二ッ岩,佐渡的二岩,佐渡的二岩,official_jp_user_repaired_exact,二岩猯藏,True,False
21,141.0,634,最も澄みわたる空と海,最澄澈的空与海,最澄澈的空与海,official_jp_repaired_exact,,True,False
21,143.0,116,レトロスペクティブ京都,回忆京都,回忆京都,official_jp_repaired_exact,,True,False
21,144.0,59,萃夢想,萃梦想,萃梦想,official_jp_repaired_exact,,True,False
21,145.0,40,蠢々秋月 ~ Mooned Insect,蠢蠢的秋月 ~ Mooned Insect,蠢蠢的秋月,official_jp_user_repaired_exact,莉格露·奈特巴格,True,False
21,145.0,41,夜雀の歌声 ~ Night Bird,夜雀的歌声 ~ Night Bird,夜雀的歌声,official_jp_user_repaired_exact,米斯蒂娅·萝蕾拉,True,False
21,147.0,216,the Grimoire of Alice,the Grimoire of Alice,the Grimoire of Alice,official_jp_user_repaired_exact,爱丽丝·玛格特洛依德,True,False
21,148.0,475,Complete Darkness,Complete Darkness,Complete Darkness,official_jp_repaired_exact,,True,False
21,149.0,38,永夜抄 ~ Eastern Night.,永夜抄 ~ Eastern Night.,永夜抄 ~ Eastern Night.,official_jp_repaired_exact,,True,False
21,150.0,94,春色小径 ~ Colorful Path,春色小径 ~ Colorful Path,春色小径,official_jp_user_repaired_exact,博丽灵梦,True,False
21,150.0,193,キャプテン・ムラサ,Captain Murasa,Captain Murasa,official_jp_user_repaired_exact,村纱水蜜,True,False
21,152.0,16,紅より儚い永遠,比红色更虚无的永远,比红色更虚无的永远,official_jp_repaired_exact,,True,False
21,153.0,155,星の器 ~ Casket of Star,星之器 ~ Casket of Star,星之器,official_jp_user_repaired_exact,雾雨魔理沙,True,False
21,154.0,34,妖々跋扈 ~ Who done it!,妖妖跋扈 ~ Who done it!,妖妖跋扈,official_jp_user_repaired_exact,八云蓝,True,False
21,154.0,247,夢殿大祀廟,梦殿大祀庙,梦殿大祀庙,official_jp_user_repaired_exact,苏我屠自古,True,False
