site,character,character_score,character_total_score,character_rate,character_z,has_music_association,music_count,weight_sum,music_weighted_z_sum,music_weighted_z_mean,music_weighted_rate_sum,music_weighted_rate_mean,music_total_score
cn,骊驹早鬼,127,89467.0,0.0014195178110364716,-0.5988137808466462,True,1,1.0,-0.5787758939002832,-0.5787758939002832,0.0007703335972439176,0.0007703335972439176,93466.0
cn,姬虫百百世,125,89467.0,0.0013971631998390469,-0.6010089185778489,True,1,1.0,-0.451859683679541,-0.451859683679541,0.0013908801061348513,0.0013908801061348513,93466.0
cn,露娜萨·普莉兹姆利巴,110,89467.0,0.0012295036158583611,-0.6174724515618689,True,1,1.0,0.7516561028964628,0.7516561028964628,0.007275372862859221,0.007275372862859221,93466.0
cn,莉格露·奈特巴格,108,89467.0,0.0012071490046609364,-0.6196675892930716,True,1,1.0,-0.5590819992108577,-0.5590819992108577,0.0008666252968994073,0.0008666252968994073,93466.0
cn,高丽野阿吽,106,89467.0,0.0011847943934635116,-0.6218627270242743,True,1,1.0,-0.6838099989105526,-0.6838099989105526,0.0002567778657479725,0.0002567778657479725,93466.0
cn,蕾蒂·霍瓦特洛克,102,89467.0,0.0011400851710686622,-0.6262530024866797,True,1,1.0,-0.6772453673474107,-0.6772453673474107,0.0002888750989664691,0.0002888750989664691,93466.0
cn,三头慧之子,102,89467.0,0.0011400851710686622,-0.6262530024866797,True,1,1.0,-0.6772453673474107,-0.6772453673474107,0.0002888750989664691,0.0002888750989664691,93466.0
cn,若鹭姬,101,89467.0,0.0011289078654699498,-0.627350571352281,True,1,1.0,-0.6706807357842689,-0.6706807357842689,0.00032097233218496567,0.00032097233218496567,93466.0
cn,宫古芳香,97,89467.0,0.0010841986430751003,-0.6317408468146863,True,1,1.0,-0.7035038935999781,-0.7035038935999781,0.00016048616609248283,0.00016048616609248283,93466.0
cn,苏我屠自古,89,89467.0,0.0009947801982854013,-0.6405213977394971,True,1,1.0,-0.5612702097319049,-0.5612702097319049,0.0008559262191599084,0.0008559262191599084,93466.0
