round,category,id,geo_key,geo_name,all,sum,male,female,per,maleper,femaleper
9,chara,23,33,澳门,12,1,1,,8.33,10,
9,chara,23,34,台湾,68,2,1,1,2.94,1.72,10
9,chara,24,01,北京,713,2,1,1,0.28,0.17,0.82
9,chara,24,02,上海,757,3,3,,0.4,0.49,
9,chara,24,03,广东,1570,6,6,,0.38,0.45,
9,chara,24,04,天津,253,1,1,,0.4,0.47,
9,chara,24,05,重庆,244,2,2,,0.82,0.97,
9,chara,24,06,四川,604,5,5,,0.83,0.98,
9,chara,24,07,江苏,993,4,4,,0.4,0.46,
9,chara,24,08,浙江,853,3,3,,0.35,0.42,
9,chara,24,09,湖北,576,,,,,,
9,chara,24,10,湖南,356,,,,,,
9,chara,24,11,山东,592,,,,,,
9,chara,24,12,山西,137,,,,,,
9,chara,24,13,河北,281,1,1,,0.36,0.41,
9,chara,24,14,河南,380,2,2,,0.53,0.6,
9,chara,24,15,黑龙江,192,1,1,,0.52,0.59,
9,chara,24,16,吉林,123,,,,,,
9,chara,24,17,辽宁,303,3,2,1,0.99,0.78,2.08
9,chara,24,18,陕西,250,,,,,,
9,chara,24,19,内蒙古,87,1,1,,1.15,1.37,
9,chara,24,20,安徽,349,,,,,,
9,chara,24,21,福建,480,3,3,,0.63,0.76,
9,chara,24,22,江西,337,,,,,,
9,chara,24,23,广西,392,3,2,1,0.77,0.63,1.39
9,chara,24,24,海南,76,,,,,,
9,chara,24,25,贵州,143,,,,,,
9,chara,24,26,云南,125,,,,,,
9,chara,24,27,甘肃,57,,,,,,
9,chara,24,28,宁夏,10,,,,,,
9,chara,24,29,青海,15,,,,,,
9,chara,24,30,新疆,57,1,,,1.75,,
9,chara,24,31,西藏,1,,,,,,
9,chara,24,32,香港,66,1,1,,1.52,1.92,
9,chara,24,33,澳门,12,,,,,,
9,chara,24,34,台湾,68,1,1,,1.47,1.72,
9,chara,25,01,北京,713,,,,,,
9,chara,25,02,上海,757,2,,,0.26,,
9,chara,25,03,广东,1570,1,1,,0.06,0.07,
9,chara,25,04,天津,253,,,,,,
9,chara,25,05,重庆,244,,,,,,
9,chara,25,06,四川,604,1,1,,0.17,0.2,
9,chara,25,07,江苏,993,9,5,4,0.91,0.58,3.15
9,chara,25,08,浙江,853,,,,,,
9,chara,25,09,湖北,576,,,,,,
9,chara,25,10,湖南,356,1,,,0.28,,
9,chara,25,11,山东,592,1,1,,0.17,0.2,
9,chara,25,12,山西,137,,,,,,
9,chara,25,13,河北,281,,,,,,
9,chara,25,14,河南,380,,,,,,
9,chara,25,15,黑龙江,192,2,2,,1.04,1.18,
9,chara,25,16,吉林,123,,,,,,
9,chara,25,17,辽宁,303,1,,,0.33,,
9,chara,25,18,陕西,250,1,1,,0.4,0.46,
9,chara,25,19,内蒙古,87,,,,,,
9,chara,25,20,安徽,349,1,1,,0.29,0.33,
9,chara,25,21,福建,480,1,1,,0.21,0.25,
9,chara,25,22,江西,337,1,1,,0.3,0.35,
9,chara,25,23,广西,392,1,1,,0.26,0.31,
9,chara,25,24,海南,76,,,,,,
9,chara,25,25,贵州,143,,,,,,
9,chara,25,26,云南,125,,,,,,
9,chara,25,27,甘肃,57,,,,,,
9,chara,25,28,宁夏,10,,,,,,
9,chara,25,29,青海,15,,,,,,
9,chara,25,30,新疆,57,,,,,,
9,chara,25,31,西藏,1,,,,,,
9,chara,25,32,香港,66,,,,,,
9,chara,25,33,澳门,12,,,,,,
9,chara,25,34,台湾,68,,,,,,
9,chara,26,01,北京,713,72,64,8,10.1,10.9,6.56
9,chara,26,02,上海,757,68,61,7,8.98,10.05,5.43
9,chara,26,03,广东,1570,169,151,18,10.76,11.3,8.22
9,chara,26,04,天津,253,21,18,3,8.3,8.53,9.09
9,chara,26,05,重庆,244,31,29,2,12.7,14.01,6.25
9,chara,26,06,四川,604,63,58,5,10.43,11.35,5.49
9,chara,26,07,江苏,993,90,86,4,9.06,9.95,3.15
9,chara,26,08,浙江,853,115,102,13,13.48,14.15,10.16
9,chara,26,09,湖北,576,56,49,7,9.72,9.82,9.33
9,chara,26,10,湖南,356,45,41,4,12.64,14.14,6.45
9,chara,26,11,山东,592,63,57,6,10.64,11.15,7.89
9,chara,26,12,山西,137,13,7,6,9.49,5.83,37.5
9,chara,26,13,河北,281,30,26,4,10.68,10.57,12.12
9,chara,26,14,河南,380,38,35,3,10,10.48,6.82
9,chara,26,15,黑龙江,192,14,13,1,7.29,7.65,4.55
9,chara,26,16,吉林,123,12,11,1,9.76,10.28,6.25
9,chara,26,17,辽宁,303,26,25,1,8.58,9.8,2.08
9,chara,26,18,陕西,250,19,18,1,7.6,8.29,3.03
9,chara,26,19,内蒙古,87,7,7,,8.05,9.59,
9,chara,26,20,安徽,349,32,28,4,9.17,9.15,9.52
9,chara,26,21,福建,480,42,35,7,8.75,8.86,8.24
9,chara,26,22,江西,337,36,33,3,10.68,11.58,5.77
9,chara,26,23,广西,392,39,37,2,9.95,11.56,2.78
9,chara,26,24,海南,76,4,4,,5.26,6.35,
9,chara,26,25,贵州,143,12,11,1,8.39,9.02,4.76
9,chara,26,26,云南,125,12,12,,9.6,10.81,
9,chara,26,27,甘肃,57,3,3,,5.26,6.52,
9,chara,26,28,宁夏,10,2,2,,20,20,
9,chara,26,29,青海,15,,,,,,
9,chara,26,30,新疆,57,6,6,,10.53,12.77,
9,chara,26,31,西藏,1,1,1,,100,100,
9,chara,26,32,香港,66,5,5,,7.58,9.62,
9,chara,26,33,澳门,12,,,,,,
9,chara,26,34,台湾,68,8,5,3,11.76,8.62,30
9,chara,27,01,北京,713,4,2,2,0.56,0.34,1.64
9,chara,27,02,上海,757,6,5,1,0.79,0.82,0.78
9,chara,27,03,广东,1570,9,7,2,0.57,0.52,0.91
9,chara,27,04,天津,253,2,2,,0.79,0.95,
9,chara,27,05,重庆,244,3,2,1,1.23,0.97,3.13
9,chara,27,06,四川,604,5,3,2,0.83,0.59,2.2
9,chara,27,07,江苏,993,7,5,2,0.7,0.58,1.57
9,chara,27,08,浙江,853,7,6,1,0.82,0.83,0.78
9,chara,27,09,湖北,576,3,3,,0.52,0.6,
9,chara,27,10,湖南,356,2,2,,0.56,0.69,
9,chara,27,11,山东,592,3,3,,0.51,0.59,
9,chara,27,12,山西,137,3,3,,2.19,2.5,
9,chara,27,13,河北,281,2,1,1,0.71,0.41,3.03
9,chara,27,14,河南,380,2,2,,0.53,0.6,
