character_cn,first_appearance,first_jp_eligible_round,first_cn_eligible_round,eligible_jp_rounds,eligible_cn_rounds,missing_early_jp_rounds,missing_early_cn_rounds,event_count,comment_or_danmaku_sample_count,bilibili_query_or_title_hit_count,tieba_evidence_count,tieba_fulltext_comment_sample_count,pixiv_tag_count_snapshot,eligible_jp_rounds_with_evidence,eligible_cn_rounds_with_evidence,eligible_jp_rounds_without_evidence,eligible_cn_rounds_without_evidence,gap_status,coverage_limit
摩多罗隐岐奈,东方天空璋,14,6,14;15;16;17;18;19;20;21,6;7;8;9;10;11,15;16;17;18;19;20,6;7;8;9;10;11,0,4,0,0,4,,2,0,6,6,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
斯塔萨菲雅,东方三月精 ～ Eastern and Little Nature Deity.,4,1,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,0,1,0,0,1,,1,0,17,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
无名的读书妖怪（朱鹭子）,东方香霖堂,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;5;6;7;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,2,0,17,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
日白残无,东方兽王园,19,11,19;20;21,11,19;20,11,0,1,0,0,1,,1,0,2,1,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
明罗,东方封魔录,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,0,1,0,0,1,,1,0,18,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
星熊勇仪,东方地灵殿,6,1,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,0,0,1,0,0,,0,0,16,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
朝仓理香子,东方梦时空,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,0,0,19,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
本居小铃,东方铃奈庵,10,2,10;11;12;13;14;15;16;17;18;19;20;21,2;3;4;5;6;7;8;9;10;11,10;11;12;13;14;15;16;17;18;19;20;21,2;3;4;5;6;7;8;9;10;11,0,0,2,0,0,,0,0,12,10,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
村纱水蜜,东方星莲船,7,1,7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,0,1,0,0,1,,1,0,14,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
杖刀偶磨弓,东方鬼形兽,16,8,16;17;18;19;20;21,8;9;10;11,16;17;18;19;20;21,8;9;10;11,1,0,3,0,0,,0,0,6,4,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
桑尼米尔克,东方三月精 ～ Eastern and Little Nature Deity.,4,1,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,0,1,0,0,1,,1,0,17,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
梅蒂欣·梅兰可莉,东方花映塚,4,1,4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,2,0,0,0,0,,3,0,15,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
梅露兰·普莉兹姆利巴,东方妖妖梦,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,2,0,17,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
梦子,东方怪绮谈,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,0,1,0,0,1,,1,0,18,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
梦月,东方幻想乡,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,1,0,0,0,0,,0,0,19,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
森近霖之助,东方香霖堂,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;8;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,3,1,0,0,1,,6,0,13,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
橙,东方妖妖梦,3,1,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,0,1,0,0,1,,1,0,18,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
比那名居天子,东方绯想天,6,1,6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21,1;2;3;4;5;6;7;8;9;10;11,8;9;10;11;12;13;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11,1,4,5,0,4,,4,0,12,11,partial_round_coverage,登场前届数不进入分母；社媒样本、播放/弹幕与票数分列，空白仅表示当前精选证据未覆盖。
